ID,Name,CountryCode,District,Info
414,"Jaraguá do Sul",BRA,"Santa Catarina","{"Population": 102580}"
415,Cubatão,BRA,"São Paulo","{"Population": 102372}"
416,Itabira,BRA,"Minas Gerais","{"Population": 102217}"
417,Itaituba,BRA,Pará,"{"Population": 101320}"
418,Araras,BRA,"São Paulo","{"Population": 101046}"
419,Resende,BRA,"Rio de Janeiro","{"Population": 100627}"
420,Atibaia,BRA,"São Paulo","{"Population": 100356}"
421,"Pouso Alegre",BRA,"Minas Gerais","{"Population": 100028}"
422,Toledo,BRA,Paraná,"{"Population": 99387}"
423,Crato,BRA,Ceará,"{"Population": 98965}"
424,Passos,BRA,"Minas Gerais","{"Population": 98570}"
425,Araguari,BRA,"Minas Gerais","{"Population": 98399}"
426,"São José de Ribamar",BRA,Maranhão,"{"Population": 98318}"
427,Pinhais,BRA,Paraná,"{"Population": 98198}"
428,Sertãozinho,BRA,"São Paulo","{"Population": 98140}"
429,"Conselheiro Lafaiete",BRA,"Minas Gerais","{"Population": 97507}"
430,"Paulo Afonso",BRA,Bahia,"{"Population": 97291}"
431,"Angra dos Reis",BRA,"Rio de Janeiro","{"Population": 96864}"
432,Eunápolis,BRA,Bahia,"{"Population": 96610}"
433,Salto,BRA,"São Paulo","{"Population": 96348}"
434,Ourinhos,BRA,"São Paulo","{"Population": 96291}"
435,Parnamirim,BRA,"Rio Grande do Norte","{"Population": 96210}"
436,Jacobina,BRA,Bahia,"{"Population": 96131}"
437,"Coronel Fabriciano",BRA,"Minas Gerais","{"Population": 95933}"
438,Birigui,BRA,"São Paulo","{"Population": 94685}"
